FARRINGTON'S FARM SHOP & RESTAURANT,01761 452266,51.29653,-2.52598,BS39 6UB,Home Farm,Main Street,Bath and NE Somerset,"","",Mon-Sat: 08.00-19.00. Sun & Bank Hols: 09.00-17.00,"February,March,April,May,June,July,August,September,October,November,December,January","",http://www.farringtons.co.uk,"",1,1,1,"","","",1,"",1,1,1,1,"","",1,"",1,1,"","","","Farm Shop,On-farm Cafe,Butchery,Deli,Toilets,Parking,Fish counter,Christmas Trees,Farm Attraction","Bread,Eggs,Honey,Preserves,Fruit,Cream,Cakes,Vegetables,Pies,Cheese,Meat - poultry,Juices,Game,Frozen items,Organic foods,Meat - beef,Sausages,Meat - bacon,Herbs,Asparagus,Meat - lamb,Fish,Wine,Beer,Ready-to-eat meals,Chrismas Trees,Turkeys,Gifts",FARMA Farm Retailer of the Year 2004FARMA Farm Retailer of the Year 2012,Andy and Tish Jeffery,""
MOSELEY FARMERS' MARKET,0121 449 3156,52.44685,-1.886945,B13 8HW,"","",Birmingham,"","",9.00-15.00,"February,March,April,May,June,July,August,September,October,November,December,January","",http://www.moseleyfarmersmarket.org.uk,"","","","","","","","","",1,"","","","","","","","","","","","","","",FARMA Farmers' Market of the Year 2012,David Isgrove,""
QUEENS PARK FARMERS' MARKET,020 7833 0338,51.536741,-0.20620,NW6 6RG,"","",London and M25,"","",10.00-14.00.  Tues 23 Dec 12.00-14.00,"February,March,April,May,June,July,August,September,October,November,December,January","",http://www.lfm.org.uk,"","","","","","","","","",1,"","","","","","","","","","","","","","",FARMA Farmers' Market of the Year 2012,Cheryl Cohen,""
RECTORY FARM,01865 351677,51.77988,-1.16856,OX33 1HF,Stanton St John,Oxford,Oxfordshire,"","",Mon-Sun:9.30-19.00,"February,March,April,May,June,July,August,September,October,November,December,January","",http://www.kbsuk.com/demo/rectoryfarm/,"","","","","","","","","",1,"",1,"","","","",1,1,"","","",Asparagus. Lettuce. Ready picked to order/delivery.,"Farm Shop,Pick Your Own,Attends Farmers' Markets","",FARMA Pick Your Own Farm of the Year 2012,Richard and Carla Stanley,""
ESSINGTON FRUIT FARM,01902 735724,52.63136,-2.059764,WV11 2AZ,Bognop Road,Essington,Staffordshire,"","",Tues-Sun 9.00-5.00 Mon-Sun 9.00-8.00 during PYO season - Check website for details,"February,March,April,May,June,July,August,September,October,November,December,January","",http://www.essingtonfarm.co.uk,"",1,"",1,"","","","","",1,"","","","","","",1,1,"","","",Extensive PYO. Home made bakery. Pumpkins and squash. Country tea room,"Farm Shop,Pick Your Own,On-farm Cafe,Maze,Attends Farmers' Markets,Farm Attraction","Bread,Eggs,Preserves,Fruit,Vegetables",FARMA Own & Local Farm Retailer of the Year 2012,Richard and Mary Simkin,""
KILNFORD BARNS,01387 720207,55.07596,-4.141837,DG2 9TR,Ingleston,Irongray,Dumfries and Galloway,"","","","February,March,April,May,June,July,August,September,October,November,December,January","","","","","","","","","","","",1,"","","","","","","",1,"","","","",Farm Shop,"",FARMA Rising Star 2012,John Rome,""
HOPETOUN FARM SHOP,01506 830716,55.98076421835619,-3.4813807407837203,EH52 6QZ,Hopetoun Woods,Newton,West Lothian,"","","The Hopetoun Farm Shop is open 7 days a week with a fabulous range of fresh, locally-sourced produce.  Opening hours are:Mon - Sun: 10.00am - 5.00pm","February,March,April,May,June,July,August,September,October,November,December,January","",http://www.hopetoun.co.uk/Farm-shop-home.html,"","",1,"","","","",1,"",1,"","","","","","","",1,"","","","Buy the best of food and drink that Scotland has to offer - premium quality at affordable  prices. Try the range of  ""Scotland's Finest Food"", carefully selected  by Lord and Lady Hopetoun.  Beef, lamb, game and poultry are reared on  the fields of the Estate. Hopetoun Farm Shop is a custom-designed,  delightful food shopping environment with dedicated Butcher,  Delicatessen, Bakery and Fresh Vegetable Counters and a delicious range  of Hopetoun's specially prepared meals. The location in a wooded setting  just off the A904 is only five minutes drive from the Forth Road  Bridge.","Farm Shop,Butchery,Deli","",Winner of FARMA 2012 Rising Star Award.,Michael Eagers,""
ROB ROYD FARM SHOP,01226 248662,53.46969,-1.34396,S70 6NW,Rob Royd Farm,Genn Lane,South Yorkshire,"","","","February,March,April,May,June,July,August,September,October,November,December,January","",http://www.robroydfarmshop.co.uk/,"","","","","","","","","",1,"","","","","","","",1,"","","","Newly opened farm shop on land owned by the farm; stone building with in-house bakery, butchery and deli. Farm produces fruit and veg, beef, lamb, pork and eggs.  Bakery produces speciality breads e.g.using Spelt flour, own pies, cakes and ready meals. Making own sausages, curing bacon on site; deli has wide range of cooked meats and cheeses. Also a range of home-made preserves.",Farm Shop,"",FARMA Rising Star 2012,Robert White,""
COWDRAY FARM SHOP,01730 812799,50.99663,-0.728394,GU29 0AJ,Cowdray Park,Midhurst,West Sussex,"","","","February,March,April,May,June,July,August,September,October,November,December,January","",http://www.cowdrayfarmshop.co.uk,1,"","",1,"","","","","",1,"","","","","","","",1,"","","","Farm shop and cafe, with on-site butcher - meat is from the Cowdray Estate. Bakery on site, using flour from the Cowdray Estate. Lots of lovely local food.","Farm Shop,On-farm Cafe,Farm Accomodation","",FARMA on-farm Cafe-Restaurant of the Year 2012,Fiona Hamilton-Fox,""
CWMCERRIG FARM SHOP & GRILL,01269 844 405,51.80187,-4.06702,SA14 7HU,Gorslas,Llanelli,Carmarthenshire,"","","","February,March,April,May,June,July,August,September,October,November,December,January","","","","","",1,"","","","","",1,"","","","","","","",1,"","","","Farm Shop opened on 19 February 2009 based on the Watkins family farm. Famous locally for fruit and veg delivery, farm shop sells own beef and lamb, turkeys, chickens, eggs and local produce from Carmarthenshire and a little further afield.","Farm Shop,On-farm Cafe","",FARMA Best Farm Retail Newcomer 2012,Roland Watkins,""
THE ORGANIC FARM SHOP,01285 640441,51.72739558573507,-1.9354903051757901,GL7 5HF,Abbey Home Farm,Burford Road,Gloucestershire,"","","Shop: Tues, Wed, thurs, Sat  9 - 17.00 (cafe 16.30)  Fri 9 - 18.30 (cafe 17.00)  Sat 09.00-18.00 (cafe 17.00 Sun 11.00-16.00 (cafe 15.30)","February,March,April,May,June,July,August,September,October,November,December,January","",http://www.theorganicfarmshop.co.uk,"","","",1,"","","","","",1,"","","","","",1,"",1,1,"","","With cafe and woodland walk, opened summer 1999.","Farm Shop,On-farm Cafe,Educational facilities,Conference facilities,Toilets,Parking","Eggs,Honey,Fruit,Cream,Cakes,Vegetables,Pies,Cheese,Meat - beef,Sausages,Meat - bacon,Meat - lamb",FARMA Environmental Farm Retailer of the Year 2012,Hilary Chester-Master,""
TULLEYS FARM,01342 718472 / PYO: 01342 715365,51.10454,-0.08517,RH10 4PE,Turners Hill,Crawley,West Sussex,"","",FS:Mon-Sun:9.00-18.00. PYO:Mon-Sun:9.30-20.00 in season,"February,March,April,May,June,July,August,September,October,November,December,January","",http://www.tulleysfarm.com,"",1,"",1,"","","","","",1,"","","","","","","",1,"","","",Extensive PYO. Pet food. Ice cream. Biscuits. Dri. flowers. Cards. Gifts.,"Farm Shop,Pick Your Own,On-farm Cafe,Maze,Halloween events,Farm Attraction","Bread,Eggs,Honey,Preserves,Fruit,Cream,Cakes,Vegetables,Pies,Cheese,Meat - poultry,Juices,Herbs",FARMA Seasonal Attraction of the Year 2012,Stuart Beare,""
FODDER,01423 546111/541000,53.99469,-1.544524,HG2 8NZ,Great Yorkshire Showground,Harrogate,North Yorkshire,"","","","February,March,April,May,June,July,August,September,October,November,December,January","",http://www.fodderweb.co.uk,"","","",1,"","","","","",1,"","","","","","","",1,"","","","Est 1837 as agricultural charity to promote farming and countryside and run the Great Yorkshire Show. As part of this commitment, opened a farm shop  in Spring 09","Farm Shop,On-farm Cafe","",FARMA Judges' Special Award 2012,Heather Parry,""
MOSELEY FARMERS' MARKET,0121 449 3156,52.44685,-1.886945,B13 8HW,"","",Birmingham,"","",9.00-15.00,"February,March,April,May,June,July,August,September,October,November,December,January","",http://www.moseleyfarmersmarket.org.uk,"","","","","","","","","",1,"","","","","","","","","","","","","","",FARMA Farmers' Market of the Year 2012,David Isgrove,""
BASHALL BARN,01200 428964,53.87465,-2.44035,BB7 3LQ,Bashall Town,Clitheroe,Lancashire,"","",09.00-17.00 7-days a week,"February,March,April,May,June,July,August,September,October,November,December,January","",http://www.bashallbarn.co.uk,"","","",1,"","","",1,"",1,"","","","","",1,"",1,1,"","","Converted stone barn and new Food Visitor Centre building, set in lovely views. Coffee shop and ice cream parlour (see the ice cream being made on site), overlooking the cow maternity unit.  Award winning restaurant serving dishes made with locally sourced, seasonal ingredients. On-site artisan producers.  Winner of the FARMA award for the UK's best on-farm restaurant, Made in Lancashire Highest Quality Assured, Finalist in the Taste Lancashire Awards 2010. Ample free parking, Toilets, easy access for disabled","Farm Shop,On-farm Cafe,On-farm Restaurant,Deli,Conference facilities,Toilets,Parking,Walks,Christmas Trees,Weddings","Bread,Eggs,Honey,Preserves,Fruit,Cream,Cakes,Vegetables,Pies,Cheese,Juices,Frozen items,Wine,Beer,Ready-to-eat meals,Chrismas Trees,Turkeys,Gifts",Best on-farm cafe/restaurant 2008,Simon Barnes,""
CHATSWORTH FARM SHOP,01246 583392,53.23424930632472,-1.6385181421890138,DE45 1UF,Stud Farm,Pilsley,Derbyshire,"","",Mon-Sat: 09.00-17.30.  Sun 11.00-17.00,"February,March,April,May,June,July,August,September,October,November,December,January","",http://www.chatsworth.org,"","",1,1,"","","",1,"",1,1,"","","","",1,"",1,1,"","","Winner of Farm Retailer of the Year and Best On-farm Butchery at the  2009 and 2011 FARMA awards, Chatsworth farm shop offers quality produce  fresh from the estate, tenant farms, Derbyshire suppliers and small food  producers.Our traditional butchers will guide you through the  vast array of meat, poultry and game. Delicious home-cooked meats and  pies are available from the delicatessen counter, and our bakery  provides wonderful fresh bread and cakes.","Farm Shop,On-farm Cafe,On-farm Restaurant,Butchery,Deli,Toilets,Parking,Walks,Fish counter","Bread,Eggs,Honey,Preserves,Fruit,Cream,Cakes,Vegetables,Pies,Cheese,Meat - poultry,Juices,Game,Frozen items,Organic foods,Meat - beef,Sausages,Meat - bacon,Herbs,Asparagus,Meat - lamb,Fish,Wine,Beer,Ready-to-eat meals,Turkeys,Gifts",Farm Retailer of the Year 2011Farm Retailer of the Year 2009,Andre Birkett,""
COWDRAY FARM SHOP,01730 812799,50.99663,-0.728394,GU29 0AJ,Cowdray Park,Midhurst,West Sussex,"","","","February,March,April,May,June,July,August,September,October,November,December,January","",http://www.cowdrayfarmshop.co.uk,1,"","",1,"","","","","",1,"","","","","","","",1,"","","","Farm shop and cafe, with on-site butcher - meat is from the Cowdray Estate. Bakery on site, using flour from the Cowdray Estate. Lots of lovely local food.","Farm Shop,On-farm Cafe,Farm Accomodation","",FARMA on-farm Cafe-Restaurant of the Year 2012,Fiona Hamilton-Fox,""
DEDDINGTON FARMERS' MARKET,01869 338532,51.98136339191982,-1.3216093485489182,OX15 0SD,Market Place,Deddington,Oxfordshire,"","","Fourth Saturday, monthly: 09.00-12.30","February,March,April,May,June,July,August,September,October,November,December,January","",http://www.deddington.org.uk/community/farmersmarket,"","","","","","","","","",1,"","","","","","","","","","","","","","","In 2006 the late Charles Newey, founder of the Deddington Farmers' Market, was recognised with the FARMA Community Spirit Award",Geoffrey Todd,""
ESSINGTON FRUIT FARM,01902 735724,52.63136,-2.059764,WV11 2AZ,Bognop Road,Essington,Staffordshire,"","",Tues-Sun 9.00-5.00 Mon-Sun 9.00-8.00 during PYO season - Check website for details,"February,March,April,May,June,July,August,September,October,November,December,January","",http://www.essingtonfarm.co.uk,"",1,"",1,"","","","","",1,"","","","","","",1,1,"","","",Extensive PYO. Home made bakery. Pumpkins and squash. Country tea room,"Farm Shop,Pick Your Own,On-farm Cafe,Maze,Attends Farmers' Markets,Farm Attraction","Bread,Eggs,Preserves,Fruit,Vegetables",FARMA Own & Local Farm Retailer of the Year 2012,Richard and Mary Simkin,""
FARMER COPLEYS,01977 600200,53.68804994356039,-1.3182825256728847,WF7 5AF,Ravensknowle Farm,Pontefract Road,West Yorkshire,"","",Farm Shop: Mon-Fri: 09:00-18:00. Sat: 09:00-17.30. Sun & Bank Hols: 09:00-16:00. Moo Cafe: Mon-Fri: 09:00-18:00 (last orders 17.30). Sat 09:00-17.30 (last orders 16.30). Sun & Bank Hols: 09:00-16:00 (last orders 15.30),"February,March,April,May,June,July,August,September,October,November,December,January","",http://www.farmercopleys.co.uk,"","",1,1,"","","","","",1,"","","","","",1,"",1,"","","","","Farm Shop,On-farm Cafe,Butchery,Parking","Eggs,Honey,Preserves,Cakes,Vegetables,Pies,Cheese,Meat - poultry,Juices,Meat - beef,Sausages,Meat - bacon,Meat - lamb,Ready-to-eat meals,Turkeys",FARMA Farm Retailer of the Year 2008,Robert and Heather Copley,""
FARNDON FIELDS FARM SHOP,01858 464838,52.47043419318247,-0.9335795836059333,LE16 9NP,Farndon Road,Market Harborough,Leicestershire,"","",Monday-Saturday: 08.00-18.00.  Sundays and bank holidays: 10.00-16.00Closed Christmas and Easter Sunday.,"February,March,April,May,June,July,August,September,October,November,December,January","",http://www.farndonﬁeldsfarmshop.co.uk,"","",1,1,"","","",1,"",1,"","","","","",1,"",1,1,"","","","Farm Shop,On-farm Cafe,On-farm Restaurant,Butchery,Deli,Toilets,Parking,Christmas Trees","Bread,Eggs,Honey,Preserves,Fruit,Cream,Cakes,Vegetables,Pies,Cheese,Meat - poultry,Juices,Frozen items,Meat - beef,Sausages,Meat - bacon,Herbs,Asparagus,Meat - lamb,Wine,Beer,Ready-to-eat meals,Chrismas Trees,Turkeys,Gifts",FARMA National Winner: Farm Retailer of the Year 2008,Contact the ofﬁce at Farndon Felds,""
FARRINGTON'S FARM SHOP & RESTAURANT,01761 452266,51.29653,-2.52598,BS39 6UB,Home Farm,Main Street,Bath and NE Somerset,"","",Mon-Sat: 08.00-19.00. Sun & Bank Hols: 09.00-17.00,"February,March,April,May,June,July,August,September,October,November,December,January","",http://www.farringtons.co.uk,"",1,1,1,"","","",1,"",1,1,1,1,"","",1,"",1,1,"","","","Farm Shop,On-farm Cafe,Butchery,Deli,Toilets,Parking,Fish counter,Christmas Trees,Farm Attraction","Bread,Eggs,Honey,Preserves,Fruit,Cream,Cakes,Vegetables,Pies,Cheese,Meat - poultry,Juices,Game,Frozen items,Organic foods,Meat - beef,Sausages,Meat - bacon,Herbs,Asparagus,Meat - lamb,Fish,Wine,Beer,Ready-to-eat meals,Chrismas Trees,Turkeys,Gifts",FARMA Farm Retailer of the Year 2004FARMA Farm Retailer of the Year 2012,Andy and Tish Jeffery,""
GARSONS ESHER,01372 464778,51.36245728107369,-0.38517700132752,KT10 8LS,Winterdown Road,Esher,Surrey,"","",Mon-Sat: 09.00-17.00. Sun: 11.00-17.00,"February,March,April,May,June,July,August,September,October,November,December,January","",http://www.garsons.co.uk,"","",1,1,"","","",1,"",1,"","","","","",1,"",1,1,"","",Comprhensive PYO. Extensive garden centre. Swimming pool shop. Pet foods. Cut flowers.,"Farm Shop,Pick Your Own,On-farm Cafe,On-farm Restaurant,Butchery,Deli,Toilets,Parking,Christmas Trees","Bread,Eggs,Honey,Preserves,Fruit,Cream,Cakes,Vegetables,Pies,Cheese,Meat - poultry,Juices,Game,Frozen items,Meat - beef,Sausages,Meat - bacon,Herbs,Asparagus,Meat - lamb,Fish,Wine,Beer,Ready-to-eat meals,Chrismas Trees,Turkeys,Gifts",Pick-Your-Own of the Year 2010,Peter Thompson,""
GONALSTON FARM SHOP,0115 966 5666,53.01483857319326,-0.9914771781349145,NG14 7DR,Southwell Road,"",Nottinghamshire,"","",Tues-Sat: 09.00-18.30. Sun & bank holidays 10.00-16.00,"February,March,April,May,June,July,August,September,October,November,December,January","",http://www.gonalstonfarmshop.co.uk,"","",1,"","","","",1,"",1,1,"","","","",1,"",1,1,"","","Multi-Award-winning Gonalston Farm Shop, established in 2003, has over 100 years of butchery experience to be proud of in the family. Home-grown Continental and traditional beef breeds assure consistent quality and flavour to savour. Exceptional wet fish counter, offering oysters to Halibut. Delicatessen and charcuiterie, well-stocked with over 100 English, territorial and Continental cheeses, many of them World Cheese Award winners.  Unique ambient foods to tempt your taste buds, Great Taste Award-winning foods galore.  Sensational fresh artisan bread delivered daily.  Cut flowers, plants, confectionery, cards and gifts for any occasion. Specialist hampers always available. You will not be disappointed. Five Stars Food Hygiene Certified. ","Farm Shop,Butchery,Deli,Toilets,Parking,Fish counter","Bread,Eggs,Honey,Fruit,Cream,Cakes,Vegetables,Pies,Cheese,Meat - poultry,Juices,Frozen items,Meat - beef,Sausages,Meat - bacon,Herbs,Asparagus,Meat - lamb,Fish,Wine,Beer,Ready-to-eat meals,Chrismas Trees,Turkeys,Gifts",FARMA Best Farm Retail Newcomer 2004,Ross and Georgina Mason,""
MOORHOUSE FARM SHOP & COFFEE SHOP,01670 789016,55.127380615668926,-1.6653261322632034,NE61 6DX,21 Station Road,Stannington,Northumberland,"","",Tues-Sat 09.30-17.30.  Sun 10.00-16.00. Closed Mons,"February,March,April,May,June,July,August,September,October,November,December,January","",http://www.moorhousefarmshop.co.uk,"","",1,1,"","","",1,"",1,"",1,1,"","",1,1,1,1,"","","","Farm Shop,On-farm Cafe,Butchery,Deli,Toilets,Parking,Christmas Trees,Attends Farmers' Markets","Bread,Eggs,Honey,Preserves,Fruit,Cakes,Vegetables,Pies,Cheese,Meat - poultry,Juices,Meat - beef,Sausages,Meat - bacon,Herbs,Meat - lamb,Ready-to-eat meals,Chrismas Trees,Turkeys",Best on-farm butchery 2008,Ian and Victoria Byatt,""
THE PINK PIG FARM SHOP & RESTAURANT,01724 844466,53.549936045192375,-0.6297230240478484,DN16 3RE,Holme Hall,Holme,Lincolnshire,"","",Mon-Sat: 09.30-17.00. Sun & Bank Hols: 10.00-16.00,"February,March,April,May,June,July,August,September,October,November,December,January","",http://www.pinkpigfarm.co.uk,"",1,1,1,"","","",1,"",1,"",1,1,"","",1,1,1,1,"","","Farm shop selling homegrown free range pork, lamb and eggs, our homegrown vegetables and loads of local goodies, plus homemade cakes, soups, ready meals and our famous Scotch eggs. Lovely restaurant/cafe and a farm adventure trail for the children.","Farm Shop,On-farm Cafe,On-farm Restaurant,Butchery,Deli,Educational facilities,Toilets,Parking,Christmas Trees,Attends Farmers' Markets,Halloween events,Farm Attraction","Bread,Eggs,Honey,Preserves,Fruit,Cream,Cakes,Vegetables,Pies,Cheese,Meat - poultry,Juices,Game,Frozen items,Organic foods,Meat - beef,Sausages,Meat - bacon,Herbs,Asparagus,Meat - lamb,Fish,Wine,Beer,Ready-to-eat meals,Chrismas Trees,Turkeys,Gifts",Farm Retailer of the Year 2006,Andrew and Sally Jackson,""
